Unix Timestamp,Transaction_ID,Television,Dryer,Oven,Refrigerator,Microwave,Line Voltage,Voltage,Apparent Power,Energy Consumption (kWh),Offloading Decision,Bandwidth
1577836800,1,0,0,0,1,0,237,233,1559,24.00176259,0,30741
1577839322,2,0,1,0,0,1,232,230,1970,31.22515417,1,35070
1577841845,3,0,1,0,0,0,223,222,1684,70.4607001,1,44253
1577844368,4,1,0,1,1,0,225,224,1694,32.26404281,1,20911
1577846891,5,1,0,0,1,0,222,214,1889,32.72811106,0,1708
1577849414,6,0,1,0,1,0,235,227,1503,63.9384203,0,12421
1577851937,7,0,1,0,0,1,237,237,1739,87.59288954,0,9205
1577854460,8,0,1,1,1,0,235,227,1996,37.7962616,0,3427
1577856983,9,0,0,1,1,0,238,235,1549,74.55393048,0,17629
1577859506,10,0,0,0,1,1,231,230,1771,48.76375647,1,37259
1577862029,11,1,1,0,0,0,227,227,1554,20.12544044,1,43451
1577864552,12,0,1,0,1,1,224,219,1882,50.87834624,0,25299
1577867075,13,1,1,1,0,1,225,224,1556,83.32080421,0,2437
1577869598,14,1,0,1,0,1,220,219,1958,48.32063767,1,14261
1577872121,15,0,1,0,1,1,220,220,1661,60.65950172,1,11641
1577874643,16,1,0,0,1,1,222,222,1615,51.8692591,1,32923
1577877166,17,0,0,1,0,1,238,231,1895,79.32367673,0,42556
1577879689,18,1,1,1,0,1,233,225,1543,55.77284484,1,20368
1577882212,19,0,1,1,0,1,226,222,1675,27.80899299,0,34548
1577884735,20,1,1,0,0,1,226,221,1726,40.79717754,0,14410
1577887258,21,0,1,0,1,0,238,230,1892,48.99308836,1,33515
1577889781,22,0,0,0,0,0,238,236,1601,12.02054566,0,30483
1577892304,23,1,1,0,0,0,223,216,1820,42.23674289,1,30114
1577894827,24,1,1,0,1,0,230,227,1531,23.44225847,1,42193
1577897350,25,0,1,0,0,0,233,225,1794,15.95007027,1,3675
1577899873,26,0,1,1,0,1,238,230,1932,34.06739445,0,46826
1577902396,27,0,0,1,1,1,228,228,1819,31.21952406,0,33257
1577904919,28,0,0,1,0,1,235,232,1959,37.31611662,1,7417
1577907442,29,0,0,0,1,0,227,224,1890,59.74461202,0,35531
1577909964,30,1,1,1,1,1,234,229,1916,50.07561556,0,12964
1577912487,31,1,0,1,1,1,223,218,1888,57.45165171,0,24725
1577915010,32,0,1,0,0,0,236,228,1516,54.08299802,0,23428
1577917533,33,1,1,0,0,1,224,215,1596,40.18331569,0,18381
1577920056,34,0,1,1,0,1,228,228,1778,99.11184142,0,14595
1577922579,35,0,1,0,0,1,222,220,1928,22.93021414,1,38483
1577925102,36,1,0,0,0,0,237,235,1615,62.42920355,1,41823
1577927625,37,1,0,1,0,0,229,225,1765,15.05441307,1,35111
1577930148,38,0,1,1,0,0,235,231,1998,65.65689877,0,26892
1577932671,39,0,1,1,0,0,239,237,1693,31.48758796,0,3865
1577935194,40,0,1,1,1,1,227,220,1939,26.69389349,1,30799
1577937717,41,0,1,0,1,1,231,222,1526,21.3083657,1,8298
1577940240,42,0,1,1,0,1,236,228,1838,39.20017349,1,19463
1577942763,43,1,0,1,1,0,231,222,1591,77.58134968,1,33315
1577945286,44,1,1,1,1,0,227,226,1934,94.76285053,0,32636
1577947808,45,0,0,1,1,1,232,227,1706,85.72398225,1,22138
1577950331,46,0,0,0,1,0,237,229,1907,11.20272237,1,32830
1577952854,47,0,1,1,1,0,223,219,1914,36.85256928,0,3917
1577955377,48,1,0,0,1,0,221,217,1596,44.44439213,1,859
1577957900,49,0,0,0,1,1,231,230,1671,60.20143681,0,10760
1577960423,50,1,1,1,1,1,229,227,1575,25.8051079,0,36325
1577962946,51,1,0,1,1,1,233,228,1888,39.94970723,1,23819
1577965469,52,1,0,0,0,0,227,224,1975,83.60099244,1,48049
1577967992,53,1,0,0,0,1,222,214,1671,25.34591312,1,29831
1577970515,54,1,0,0,1,1,226,218,1697,14.15448637,1,26476
1577973038,55,1,0,0,1,1,232,225,1830,29.40787832,0,46683
1577975561,56,0,1,1,1,0,237,235,1753,30.0224691,1,2083
1577978084,57,0,1,1,0,1,229,220,1812,30.94396157,1,2723
1577980607,58,0,0,0,1,0,225,225,1534,79.26696389,0,43233
1577983129,59,1,1,1,0,1,238,236,1652,90.74557299,0,44058
1577985652,60,1,1,1,0,1,223,220,1755,75.30776784,0,22142
1577988175,61,1,1,0,1,0,220,213,1751,85.88023505,0,37537
1577990698,62,1,0,1,0,1,228,225,1918,93.64240372,0,31584
1577993221,63,1,0,0,0,0,225,222,1657,22.88439413,1,30846
1577995744,64,0,1,1,0,0,226,219,1689,66.15738126,0,8195
1577998267,65,0,1,0,0,1,226,222,1679,32.61227095,0,5072
1578000790,66,1,1,0,0,1,224,218,1638,85.96000961,0,16954
1578003313,67,0,0,0,1,0,237,229,1831,96.78778647,0,29807
1578005836,68,0,1,0,0,1,232,227,1913,67.92262013,0,1360
1578008359,69,1,1,1,0,1,236,235,1573,60.92884662,0,1843
1578010882,70,0,1,0,1,0,239,238,1736,14.90727169,1,30053
1578013405,71,1,1,1,1,1,227,219,1623,12.3776574,1,47007
1578015928,72,0,0,1,1,1,227,218,1709,49.41737858,1,15635
1578018450,73,0,0,0,1,1,237,234,1768,95.24232542,0,17164
1578020973,74,0,1,1,0,0,234,233,1994,89.50271531,0,4986
1578023496,75,1,0,1,1,0,235,231,1594,24.25067871,1,36828
1578026019,76,0,1,0,1,1,234,225,1510,61.08479118,1,24070
1578028542,77,1,0,0,0,0,232,231,1743,49.87288644,1,35708
1578031065,78,1,1,0,1,0,232,226,1582,91.19342518,1,9944
1578033588,79,1,0,1,1,0,223,219,1780,21.99571354,0,27570
1578036111,80,0,0,0,0,1,235,228,1806,24.22044786,1,33436
1578038634,81,0,1,0,1,1,224,216,1770,63.97349353,0,10447
1578041157,82,1,0,1,1,1,234,228,1661,64.51554084,1,40569
1578043680,83,1,1,1,0,0,221,213,1928,67.66959228,1,17818
1578046203,84,0,1,1,0,0,229,220,1909,55.68970985,1,25193
1578048726,85,1,0,1,0,1,223,223,1953,17.1500125,1,30445
1578051249,86,1,1,1,0,0,233,231,1989,44.77261728,1,31406
1578053772,87,1,0,1,1,1,233,228,1753,66.64668076,0,28119
1578056294,88,0,0,1,1,1,223,218,1550,28.24003664,1,37222
1578058817,89,1,1,0,1,0,232,228,1922,21.65999529,0,31017
1578061340,90,0,0,1,0,1,225,223,1923,38.00542566,0,29583
1578063863,91,1,0,1,0,1,230,221,1957,69.02068811,1,38008
1578066386,92,1,0,1,1,0,220,218,1626,38.033448,0,4084
1578068909,93,0,1,0,0,1,224,220,1565,18.77914429,1,28492
1578071432,94,1,0,0,1,1,221,216,1908,17.73064953,1,22554
1578073955,95,1,1,1,1,1,220,213,1684,47.85312926,0,1091
1578076478,96,1,1,0,0,1,225,217,1676,55.88039367,1,11307
1578079001,97,0,0,0,1,0,225,219,1534,88.66077485,1,15786
1578081524,98,0,1,0,1,0,232,226,1581,53.16533425,1,9270
1578084047,99,1,0,1,1,1,224,224,1704,94.80482752,1,33855
1578086570,100,0,1,0,0,0,223,214,1618,93.35550684,1,41867
1578089093,101,0,1,1,1,1,221,218,1719,91.18636593,0,27902
1578091615,102,0,1,0,0,0,226,223,1580,31.56089355,1,39693
1578094138,103,1,1,1,1,1,225,221,1597,38.22079394,1,42467
1578096661,104,0,1,0,0,0,236,234,1991,82.91557833,1,24029
1578099184,105,0,0,0,1,1,220,220,1896,68.83269432,1,23594
1578101707,106,0,0,0,0,0,225,218,1628,22.05117183,0,4643
1578104230,107,0,0,1,0,0,232,232,1895,67.39490528,0,23495
1578106753,108,0,1,1,0,0,222,219,1978,31.02178235,0,43013
1578109276,109,1,0,0,0,0,238,233,1926,78.27821783,1,37300
1578111799,110,0,1,1,1,1,237,233,1718,83.08753516,0,36678
1578114322,111,1,0,0,0,0,233,225,1748,28.23377716,0,44764
1578116845,112,1,0,0,0,1,239,238,1856,59.026504,0,19054
1578119368,113,1,0,0,1,0,236,233,1580,18.80110831,1,45736
1578121891,114,1,0,0,0,0,235,227,1992,24.02340911,0,17861
1578124414,115,0,1,0,1,0,232,232,1513,62.12614688,1,32073
1578126937,116,1,1,0,1,1,234,230,1919,95.03437031,1,26010
1578129459,117,1,0,0,0,1,235,230,1774,91.60875323,0,47478
1578131982,118,1,1,0,1,0,231,226,1863,84.38462775,1,37392
1578134505,119,1,0,1,1,0,234,232,1660,95.30995676,1,23986
1578137028,120,0,1,0,0,0,232,228,1614,29.6377541,1,48431
1578139551,121,0,0,0,0,0,224,222,1914,71.59558505,1,36423
1578142074,122,0,1,1,1,0,235,234,1609,37.18903137,1,45732
1578144597,123,1,0,1,0,0,222,220,1830,57.79101179,1,4388
1578147120,124,1,0,0,0,1,221,221,1655,24.1415745,1,36306
1578149643,125,0,0,1,1,0,226,221,1857,97.40603174,0,46191
1578152166,126,0,1,0,1,0,225,218,1987,94.77076732,1,29818
1578154689,127,0,1,1,1,0,234,227,1524,71.6384706,0,25545
1578157212,128,0,1,0,0,1,220,214,1689,44.14177805,0,47913
1578159735,129,1,1,0,1,1,235,232,1812,45.48535425,0,35768
1578162258,130,0,0,0,1,0,228,219,1572,10.28054216,0,37446
1578164780,131,0,0,1,0,0,220,217,1667,86.72084551,1,37824
1578167303,132,1,0,0,1,0,221,218,1722,32.01817102,1,5281
1578169826,133,0,1,0,0,0,224,215,1589,59.40990882,1,16148
1578172349,134,1,1,1,1,1,238,231,1514,96.15741692,1,11290
1578174872,135,1,1,1,0,0,224,223,1584,21.95444073,0,19464
1578177395,136,1,0,0,1,0,234,225,1672,23.456528,1,26862
1578179918,137,0,0,1,0,0,233,224,1834,91.92963507,1,11058
1578182441,138,1,1,1,1,0,234,231,1765,55.13264814,0,384
1578184964,139,0,0,0,1,1,239,236,1991,34.87559146,0,5281
1578187487,140,0,0,1,0,1,228,223,1645,68.49477702,0,24594
1578190010,141,1,1,0,0,0,221,215,1961,37.05714301,0,25930
1578192533,142,1,0,0,0,0,229,222,1646,97.32958935,1,481
1578195056,143,0,1,1,1,1,230,230,1622,58.78922715,1,27401
1578197579,144,1,1,1,0,1,221,215,1766,92.52833325,0,37551
1578200101,145,1,1,0,1,0,239,231,1550,80.6345999,1,36378
1578202624,146,1,1,1,0,0,238,238,1937,77.73026316,1,34795
1578205147,147,0,1,0,0,1,234,233,1747,99.95255201,1,36744
1578207670,148,1,0,1,0,1,233,224,1856,60.12499282,1,45117
1578210193,149,1,0,0,0,1,231,229,1851,96.80287197,1,3596
1578212716,150,1,0,0,0,1,236,232,1989,32.99362814,0,13341
1578215239,151,1,1,1,0,0,233,225,1929,70.24376739,0,42939
1578217762,152,0,0,1,0,1,225,218,1753,24.85313679,0,41737
1578220285,153,1,1,0,0,0,224,215,1514,10.7213596,0,11583
1578222808,154,1,0,0,1,0,234,225,1662,88.0770712,1,31261
1578225331,155,1,0,1,1,1,228,219,1686,45.8237082,0,48092
1578227854,156,1,0,0,1,1,221,218,1863,93.33155724,1,11063
1578230377,157,1,1,1,0,1,239,236,1859,47.82582322,0,26520
1578232900,158,1,0,0,1,1,223,221,1773,14.95504276,1,7505
1578235423,159,1,1,1,1,0,238,233,1759,10.28086357,0,29068
1578237945,160,0,1,0,1,1,229,223,1991,91.60422349,0,24320
1578240468,161,0,0,0,0,1,228,219,1873,20.49419419,0,8641
1578242991,162,0,1,1,0,1,225,218,1970,94.24739444,1,18524
1578245514,163,0,1,0,1,0,231,227,1542,91.06185401,0,13337
1578248037,164,1,0,0,0,1,222,221,1555,26.27106983,0,6921
1578250560,165,1,0,0,0,1,239,239,1752,72.72580019,1,46956
1578253083,166,0,1,1,0,0,227,219,1996,91.30478687,0,46030
1578255606,167,1,0,0,0,1,220,212,1578,35.32587222,1,42433
1578258129,168,1,0,0,0,0,220,219,1722,70.530758,1,26206
1578260652,169,1,0,1,1,0,236,229,1696,74.67041991,0,43440
1578263175,170,0,1,1,0,1,225,217,1919,43.65547265,0,23734
